Participant,Gender,Consonant,Following_Vowel,Rating,Stimuli,Curvature_Degree,Curvature_Location,MCI,real_1,imag_1,mod_1,F2_mean,F3_mean,COG,Dispersion,Skewness
P12,F,ch,a,humped,chaqu,0.204147655,0.266045891,2.66556834,34.34649011,-25.28489478,42.64982165,2158.017498,2877.553638,3240.739238,2280.052125,0.863003081
P12,F,s,a,Alveolar,sahuang,0.222300663,0.518250817,1.913679924,37.49123166,-43.6789062,57.56248169,2069.557354,3003.606452,5938.13086,3554.84283,-0.492936532
P12,F,c,a,Alveolar,cayao,0.167306841,0.398758717,1.726476334,32.43828047,-29.49566131,43.84331278,2014.714021,2976.455275,4572.569682,3206.388437,0.100564283
P12,F,sh,a,bunched,shafa,0.216120974,0.254891194,2.419160358,35.66362791,-14.75652848,38.59597763,2604.742343,3281.665227,4218.980883,2540.566508,0.30610344
P12,F,zh,u,humped,zhurou,0.243309472,0.340375692,1.819297041,36.05024625,-27.51024597,45.34792044,1859.044702,3032.401349,3172.096159,2845.357523,0.85008672
P12,F,zh,i,humped,zhidao,0.200053447,0.34566605,2.226818136,34.91628751,-16.3054892,38.53590678,2091.580813,2745.486162,2818.816724,2365.939874,1.139212308
P12,F,z,u,Alveolar,zufang,0.254159025,0.557578009,2.706723857,4.448403324,-62.73119283,62.88871796,1941.231269,3041.217101,5292.186214,3168.880405,-0.293147961
P12,F,c,u,Alveolar,cuxin,0.288025717,0.534462906,2.14225713,30.08632768,-46.11339246,55.0602586,2038.310675,3095.720258,5354.780203,3222.368154,-0.282093486
P12,F,s,u,Alveolar,suxing,0.28979714,0.578016356,2.088203352,14.4265158,-66.01622306,67.57415235,2052.146849,3332.028729,6239.01149,2916.365067,-0.791982296
P13,F,sh,u,humped,shuben,0.289290514,0.586582719,1.947426689,-1.60275515,-67.0020094,67.02117641,2260.879647,3272.29921,4551.92633,2282.184607,-0.013910801
P13,F,ch,u,humped,churu,0.38501117,0.459404819,3.196514742,9.419547468,-62.34761022,63.05515344,2430.203368,3317.802666,4516.686279,2390.171509,-0.17790621
P13,F,z,a,Alveolar,zadao,0.254411212,0.570140262,3.022861183,4.930710588,-57.14448495,57.3568136,2065.090284,2980.136884,6823.739084,2827.916383,-1.013567652
P13,F,s,i,Alveolar,siji,0.303560764,0.645824415,2.542906585,10.73874721,-66.633553,67.49334099,2313.207469,3297.043836,6691.543763,3009.40008,-1.014091558
P13,F,ch,i,humped,chifan,0.308233638,0.415817079,2.673694652,28.30627194,-56.66107211,63.33815694,2368.805864,3091.348947,4095.171819,2251.695855,0.514387909
P13,F,c,i,Alveolar,ciya,0.283801053,0.692155148,2.963463338,-1.461368615,-17.40027521,17.46153417,2180.64287,3190.237349,6650.6665,2621.550503,-1.142279959
P13,F,sh,i,humped,shibai,0.289921201,0.48445865,2.10905877,31.43557774,-50.78823251,59.72972551,2440.575214,3173.529862,4444.896379,2415.600228,0.118164279
P13,F,z,i,Alveolar,ziben,0.305298591,0.628657001,2.352162814,16.44361722,-65.26390257,67.3035625,1955.062875,3172.581961,5856.842166,3007.457026,-0.678172237
P13,F,zh,a,humped,zhadui,0.280481227,0.424448974,2.548806999,28.21024197,-56.6004177,63.24100755,2499.849942,3075.132338,4301.864128,2171.910145,0.130837352
